company_name,company_phone,phone_length
上宏織品家飾行,422988986,9
上富機車行,222839251,9
上居資產管理開發有限公司,225679331,9
上展金屬工業股份有限公司,33614036,8
上嵉股份有限公司,287879178,9
上弘人力資源有限公司,282862537,9
上怡國際股份有限公司,222497722,9
上憶科技有限公司,62292246,8
上承營造股份有限公司,52857129,8
上揚機車行,48525584,8
上揚紙業有限公司,289650203,9
上新企業有限公司,425234219,9
上新新能源科技有限公司,424365195,9
上新潔淨洗衣店,73739244,8
上明華企業有限公司,33684341,8
上景商行,73723223,8
上景實業有限公司,76311343,8
上景有限公司,47683371,8
上智股份有限公司,65951888,8
上暉企業行,69262585,8
上暉有限公司,73385256,8
上暘精密股份有限公司,286012001,9
上暢實業有限公司,223616090,9
上杰實業有限公司,425227361,9
上林國際企業有限公司,424371517,9
上林建材行,56996575,8
上格空調工程有限公司,34832535,8
上格通訊企業有限公司,222454711,9
上樺琪企業股份有限公司,222981979,9
上欣商店,229760552,9
上正機械工程有限公司,77038135,8
上正消防器材有限公司,75822496,8
上泰裕企業有限公司,62973116,8
上海火腿食品有限公司,223512617,9
上海鄉村股份有限公司,222266277,9
上溢營造股份有限公司,222872218,9
上澔科技有限公司,286871536,9
上濠企業股份有限公司,226193060,9
上特立股份有限公司,228727127,9
上玄金屬企業有限公司,56320192,8
上珵企業有限公司,73650758,8
上瑞營造有限公司,423868330,9
上申廣告有限公司,425358847,9
上益工業社,35349047,8
上益工程行,222016889,9
上益車業行,77669966,8
上盟展業有限公司,422608767,9
上磊機械股份有限公司,422371988,9
上禾科技有限公司,33133990,8
上禾精密材料企業有限公司,62036999,8
上禾興有限公司,75885180,8
上禾貿易有限公司,422616629,9
上科實業有限公司,33236158,8
上網資訊股份有限公司,227282789,9
上綺企業股份有限公司,222487711,9
上緯廣告印刷有限公司,32170397,8
上繹室內裝修有限公司,223942020,9
上群熱能產業有限公司,62600990,8
上羽科技股份有限公司,36577998,8
上華建設開發有限公司,87518989,8
上華數碼科技股份有限公司,422464110,9
上街有限公司,222024813,9
上譽貿易有限公司,33279046,8
上谷室內裝修有限公司,227277968,9
上豪股份有限公司,222401233,9
上賓印刷紙業有限公司,423116251,9
上躍工業股份有限公司,35991175,8
上輝電工器材行,224280045,9
上輪機車行,422212221,9
上通國際有限公司,62550872,8
上造企業有限公司,222879020,9
上造印刷廠股份有限公司,922488737,9
上道工程股份有限公司,422872218,9
上采印刷有限公司,422017995,9
上鈴車業有限公司,75833879,8
上鎂燈飾,62756305,8
上門室內設計有限公司,227004566,9
上閤屋餐廳股份有限公司,227372255,9
上陽國際人力顧問有限公司,38357537,8
上陽車業行,62466256,8
上順家實業有限公司,33777582,8
上順房屋開發股份有限公司,34533337,8
上鼎事業有限公司,226800457,9
上鼎冷凍食品有限公司,426282380,9
上鼎國際實業有限公司,422978686,9
上鼎機械有限公司,285220284,9
上齊實業有限公司,282273988,9
不老祿健康事業有限公司,423289888,9
不老鉅健康事業有限公司,423289888,9
不試不行國際貿易有限公司,227638098,9
世代傳媒股份有限公司,225683362,9
世佑工程有限公司,228856529,9
世倍電子企業股份有限公司,229537177,9
世偉營建事業股份有限公司,33165893,8
世全農業資材行,55843233,8
世冠有限公司,226574341,9
世凱有限公司,52323376,8
世和人力仲介股份有限公司高雄分公司,77131128,8
世和旅行社股份有限公司,72166092,8
世和能源科技股份有限公司,222805885,9
世國營造有限公司,229280077,9
世大開發股份有限公司,33811709,8
世奎實業有限公司,424790545,9
世宗機車行,48741964,8
世宜車輛拖吊行,916577679,9
世寶機器五金股份有限公司,77713121,8
世展橡膠工業有限公司,76522345,8
世慶實業股份有限公司,229858547,9
世懋國際服裝開發有限公司,282458288,9
世承企業有限公司,426992559,9
世揚貿易有限公司,422786784,9
世揚電業有限公司,227990188,9
世新五金工程行,66560107,8
世旭企業社,423817726,9
世昌展業有限公司,77352867,8
世森精機企業有限公司,63561081,8
世欣運輸有限公司,77928189,8
世民有限公司,422230730,9
世海營造工程股份有限公司,423330030,9
世渾有限公司,223217666,9
世界極公寓大廈管理委員會,228960186,9
世界租車有限公司,229557707,9
世界通國際顧問有限公司,227523606,9
世界高爾夫中心股份有限公司,227415611,9
世發豐企業有限公司,76168399,8
世竣電信工程有限公司,77315581,8
世總環保科技有限公司,423302496,9
世義貿易股份有限公司,287928278,9
世翔熱交換器股份有限公司,222992191,9
世翼五金工業股份有限公司,289936101,9
世茂車業有限公司,34924010,8
世茂電料有限公司,73231771,8
世裔貿易有限公司,422586838,9
世訊國際企業股份有限公司,229999411,9
世詠實業有限公司,229355116,9
世豐國際企業有限公司,227493319,9
世豐國際資本管理顧問有限公司,225813007,9
世軒企業行,73528940,8
世達柏科技股份有限公司,287512668,9
世達精密研磨股份有限公司,62532072,8
世達電子有限公司,33242588,8
世鑫山開發企業有限公司,65939998,8
世隆實業股份有限公司,62638780,8
世隼企業有限公司,33858058,8
世雄實業有限公司,75519193,8
世雄機車行,89781645,8
世雅育樂股份有限公司,227719878,9
世電國際有限公司,281924271,9
世順貿易有限公司,227034371,9
丙延有限公司,425156415,9
丞丞企業有限公司,33934449,8
丞信營造有限公司,75219390,8
丞億電器材料行,48858152,8
丞功科技有限公司,73727292,8
丞堡生技有限公司,981814717,9
丞岡工業有限公司,33129417,8
丞憶電子有限公司,225965374,9
丞格實業有限公司,227951138,9
丞欣科技股份有限公司,75368231,8
丞泰電器有限公司,77232727,8
丞禾科技股份有限公司,34351310,8
丞鋒實業有限公司,76966158,8
丞鋕貿易有限公司,55970789,8
中一工程有限公司,76168434,8
中一設計有限公司,424837538,9
中井科技有限公司,228080567,9
中京電企業有限公司,285098836,9
中信人力資源管理顧問有限公司,62332183,8
中信國際租賃有限公司,34516600,8
中冠保險經紀人股份有限公司,47352062,8
中升機電股份有限公司,34516613,8
中南創發股份有限公司,277207700,9
中友國際專利商標事務所,62950266,8
中友家飾有限公司,423365807,9
中和德威牙醫診所,229160206,9
中唯技術服務有限公司,62555285,8
中國網通聯合開發國際股份有限公司,224227800,9
中國點子傳播事業股份有限公司,227555857,9
中壢同慶中醫診所,34933888,8
中外紙行,62585716,8
中大企業行,52133201,8
中大斯韋特有限公司,423221978,9
中大木業有限公司,77130517,8
中大機電工業股份有限公司,423377230,9
中天國際貿易有限公司,225060729,9
中天眼鏡股份有限公司,227725531,9
中央污染防治設備有限公司,33810937,8
中威電器工程行,228985687,9
中孚企業有限公司,227215234,9
中孚行國際企業有限公司,228085711,9
中嶺特殊橡膠塑膠有限公司,422116398,9
中康彩色印刷事業股份有限公司,222269120,9
中德環境科技有限公司,73517931,8
中悅國際企業股份有限公司,33478888,8
中悅股份有限公司,225095016,9
中成科技有限公司,36587675,8
中敏居家護理所,34379688,8
中敏護理之家,31371000,8
中敦實業有限公司,223671969,9
中新科技股份有限公司,423591968,9
中方精密有限公司,222678959,9
中昌國際股份有限公司,78071412,8
中東機車行,39383121,8
中森輪業有限公司,422230109,9
中正冷飲店,425255388,9
中正杭州公寓大廈管理委員會,223515233,9
中正水電材料有限公司,34536418,8
中清診所,422919259,9
中港裝璜行,423251413,9
中生工程有限公司,426888279,9
中略國際行銷股份有限公司,227262230,9
中發工業股份有限公司,35983224,8
中盈國際貿易有限公司,34353308,8
中盛科技股份有限公司,47988071,8
中石通路整合有限公司,225473555,9
中科水世界股份有限公司,424636866,9
中籐實業有限公司,423112888,9
中精壓鑄股份有限公司,223146481,9
中美小客車租賃有限公司,424528658,9
中美防火企業股份有限公司,423371072,9
中群記帳士事務所,77232925,8
中聯國際企業有限公司,277200850,9
中聯通運有限公司,55518199,8
中興茶飲店,492315234,9
中舞國際事業有限公司,34340585,8
中航通信器材有限公司,35429898,8
中菁科技有限公司,227075927,9
中華優固企業有限公司,227916869,9
中華元田企業社,223253256,9
中華兩岸經貿股份有限公司,423291119,9
中華南懷仁文化交流協會,223149631,9
中華國際旅行社股份有限公司,62269461,8
中華大學學生會,35374281,8
中華好健康跨境電商科技有限公司,229300222,9
中華家庭暨社區展望協會,87362001,8
中華寬鴻有限公司,228098595,9
中華康寶有限公司,422553555,9
中華日光交通股份有限公司,77258777,8
中華民國山岳協會,225942108,9
中華民國運動神經元疾病病友協會,225851367,9
中華海洋生技股份有限公司,227470006,9
中華海運研究協會,225517540,9
中華衛生材料股份有限公司,227520277,9
中華資源有限公司,225432378,9
中華輪胎企業股份有限公司,225977775,9
中裕企業社,76416238,8
中見機械工程股份有限公司,227937696,9
中規開發股份有限公司,224921111,9
中訊企業有限公司,226958100,9
中詮實業有限公司,72270151,8
中辰室內裝修設計工程有限公司,286775260,9
中通富企業有限公司,227251019,9
中部雷射股份有限公司,48356628,8
中野科貿有限公司,229642677,9
中鈦鋁業股份有限公司,33839968,8
中銳企業有限公司,33639601,8
中順興診所,229642345,9
中鴻金屬工程有限公司,87062128,8
丰?氏企業有限公司,33390926,8
丰元國際科技股份有限公司,287879233,9
丰彤設計工程有限公司,228962689,9
丰晟科技有限公司,33781041,8
丰采公關行銷有限公司,228250959,9
丰采造型有限公司,229000223,9
串聯實業有限公司,286662618,9
丸仟旺有限公司,227720106,9
丸竹化工實業有限公司,35224041,8
丹威奇室內設計工程有限公司,226498298,9
丹尼爾通運有限公司,33286386,8
丹意企業股份有限公司,227815958,9
丹爾剪燙名店,426357136,9
丹笛傳媒有限公司,282875786,9
丹華建設有限公司,34915528,8
丹麥商安居方案股份有限公司,227763899,9
主原木業股份有限公司,425230755,9
主暉貿易股份有限公司,73011771,8
乃吉國際有限公司,73806658,8
久井企業股份有限公司久井台中港加油站,426396786,9
久井企業股份有限公司久井梓官加油站,76106129,8
久信國際企業有限公司,33751111,8
久倫環資電子股份有限公司,422585588,9
久冠企業有限公司,34201681,8
久勝工程有限公司,75555501,8
久合順發機車行,48945979,8
久吉商店股份有限公司,227920200,9
久大牙醫診所,33390225,8
久宸國際管理顧問有限公司,63020831,8
久峰建材行,62468830,8
久川機車行,39511502,8
久川自控設備有限公司,87374017,8
久川車業有限公司,426622906,9
久年塑膠有限公司,424522366,9
久弘國際企業股份有限公司,227237189,9
久新不銹鋼雷射有限公司,33131919,8
久昌商貿有限公司,35712373,8
久暉貿易有限公司,63368971,8
久洋建材有限公司,39509851,8
久源水電工程企業社,52066150,8
久登科技無塵股份有限公司,34787069,8
久益機車行,35238023,8
久盛倉有限公司,75867163,8
久磊建設有限公司,62139917,8
久立藥品有限公司,288091408,9
久維股份有限公司,223696463,9
久聖有限公司,225616779,9
久萬九企業有限公司,87539567,8
久越企業有限公司,229531503,9
久都建材有限公司,39506898,8
久順機車有限公司,37663293,8
久騰數位行銷有限公司,225775608,9
之初創業投資管理顧問股份有限公司,227650757,9
之江有限公司,228212928,9
之群企業有限公司,222592929,9
乙倢實業有限公司,73943801,8
乙力彩色印刷有限公司,426875960,9
乙誠企業有限公司,229836255,9
乙辰國際有限公司,33368181,8
乙達木業有限公司,62639758,8
乙錩機械工程有限公司,78016593,8
九一行,423119531,9
九久太陽食品股份有限公司,422213639,9
九仁水電工程有限公司,73501502,8
九佰廣告社,87223145,8
九來成人力仲介有限公司,425363131,9
九六行,223675086,9
九勁有限公司,73741999,8
九匯營造有限公司,34986986,8
九品股份有限公司,222250009,9
九好有限公司,62051881,8
九寶機械有限公司,33240238,8
九廣工程有限公司,927387900,9
九思國際文化創意有限公司,422221866,9
九懋企業股份有限公司,227812826,9
九樓國際精品有限公司,55952998,8
九樽企業有限公司,277286670,9
九田商行,422968857,9
九福建設股份有限公司,225912220,9
九福科技顧問股份有限公司,225551238,9
九舞有限公司,227386695,9
九華山企業社,52353888,8
九越科技股份有限公司,34943230,8
九鑫海國際有限公司,73741170,8
九閣坊,62367502,8
九順體育用品社,237652017,9
九龍生動影像科技有限公司,62033399,8
九龍禮儀館,73816732,8
九龍起重有限公司,35515611,8
乾亨實業有限公司,35500818,8
乾倫科技有限公司,266378177,9
乾億工業股份有限公司,424061121,9
乾元生技有限公司,62511666,8
予閎土木技師事務所,224605687,9
二億企業股份有限公司,47683501,8
二師兄珍肉燒腸食品行,48887807,8
二水永興有限公司,48792451,8
二鍵企業有限公司,225332745,9
于?國際有限公司,33617913,8
于荷不動產仲介經紀有限公司,35453377,8
于達國際有限公司,75366162,8
云瑄有限公司,222320889,9
云長科技股份有限公司,35777889,8
互為德點行銷顧問有限公司,427052969,9
互立機電工程股份有限公司,225719222,9
互邦科技股份有限公司,227478655,9
五七享國際有限公司,285012196,9
五克拉皮鞋店,77473310,8
五十甲廣告股份有限公司,33566101,8
五域網絡科技有限公司,225177200,9
五常水電材料有限公司,289823699,9
五心吉企業有限公司,77352767,8
五心級實業有限公司,225980358,9
五方生物科技有限公司,227282067,9
五昌宏有限公司,229993690,9
五星尊爵第五期社區管理委員會,229909247,9
五星級飯店用品有限公司,88881088,8
五洲大象通信器材有限公司,33235833,8
五禾科技有限公司,35399679,8
五菘企業有限公司,47841708,8
五豐冷凍電機有限公司,34639309,8
五陽暖暖股份有限公司,227139992,9
五餅二魚企業社,910062398,9
五魚實業有限公司,226891361,9
井基實業有限公司,62792285,8
井安電機有限公司,229098053,9
井昇股份有限公司,35833366,8
井泰工程有限公司,77712277,8
井盛五金機械有限公司,229141814,9
井親電機股份有限公司,35563907,8
亙泓科技有限公司,73855940,8
亞世特有限公司,223410307,9
亞仕國際物流有限公司,227606269,9
亞仕美企業有限公司,222675616,9
亞伯泰科技有限公司,286650599,9
亞何設計整合行銷有限公司,287720886,9
亞信旅行社有限公司,72266788,8
亞倡照明實業有限公司,222897034,9
亞其域丞人文企業管理顧問有限公司,52867772,8
亞典牙醫診所,227081132,9
亞典興業有限公司,227314285,9
亞勃精品有限公司,222880369,9
亞博科技企業社,222695235,9
亞博開發有限公司,422615177,9
亞吟企業有限公司,228480375,9
亞哲股份有限公司,229992337,9
亞垛禡國際有限公司,229067700,9
亞太中華醫學世界聯合會,422370084,9
亞太企管顧問有限公司,987171471,9
亞太國際電機股份有限公司,35285788,8
亞太睿智科技股份有限公司,228386319,9
亞奇資訊有限公司,227723125,9
亞威國際資訊有限公司,33178787,8
亞威空間管理顧問有限公司,423299010,9
亞娛企業股份有限公司,227019885,9
亞寰企業股份有限公司,48521181,8
亞將科技有限公司,227556786,9
亞德萬司企業,73535095,8
亞思創新科技有限公司,32122248,8
亞慶機車行,424369097,9
亞慶聯合物流股份有限公司,229838818,9
亞拓電器股份有限公司,425279117,9
亞提森國際文化事業有限公司,423752023,9
亞旭鋼材企業有限公司,75552085,8
亞昇汽車商行,34682808,8
亞昕資訊股份有限公司,423710633,9
亞曼達國際有限公司,422349500,9
亞曼達娛樂開發有限公司,88883399,8
亞東工業氣體股份有限公司台中分公司,437068988,9
亞東石業股份有限公司,38265626,8
亞東軸封股份有限公司,226164823,9
亞柏利國際興業有限公司,227760800,9
亞樂國際開發有限公司,227788655,9
亞欣企管顧問有限公司,225700258,9
亞欣數位科技有限公司,75527766,8
亞汰策略會議顧問有限公司,287890978,9
亞泓實業有限公司,229601721,9
亞泰生物科技實業有限公司,423281116,9
亞泰電腦事務用品社,919657551,9
亞洲人股份有限公司,227715911,9
亞洲商務管理股份有限公司,227815639,9
亞洲單一有限公司,287866218,9
亞洲報關企業有限公司,72691258,8
亞洲才庫管理顧問有限公司,35355329,8
亞洲旅行社股份有限公司,72411116,8
亞洲日信商事股份有限公司,287125350,9
亞洲汽車租賃有限公司,422658815,9
亞洲煤氣行,53731688,8
亞洲照明科技股份有限公司,32121938,8
亞洲瑞思生物科技股份有限公司,227530125,9
亞洲生化科技股份有限公司,422060689,9
亞洲鐵人有限公司,39333176,8
亞洲體育顧問股份有限公司,227226828,9
亞濾企業有限公司,34205548,8
亞爵企業有限公司,222761762,9
亞爵國際事業有限公司,227277537,9
亞特米科技股份有限公司,222551677,9
亞琦化粧品股份有限公司,226776858,9
亞瑞斯精品有限公司,227710893,9
亞瑞特數位社群行銷有限公司,225280566,9
亞瑟環境清潔股份有限公司,72230297,8
亞生機械有限公司,73430257,8
亞登國際有限公司,32289295,8
亞碩精密科技有限公司,425651496,9
亞磯工業股份有限公司,33222311,8
亞禾有限公司,225038808,9
亞米加資訊有限公司,423585745,9
亞米格國際事業有限公司,228336811,9
亞細亞食品股份有限公司,225231771,9
亞網股份有限公司,34220062,8
亞美佳企業有限公司,228742637,9
亞美照明器具有限公司,225918816,9
亞而發股份有限公司,227542951,9
亞藤企業有限公司,35373737,8
亞蘭夢藤國際設計股份有限公司,222266406,9
亞衛企業社,229018898,9
亞財星科技藝術大樓管理委員會,222255813,9
亞通汽車客運股份有限公司,33937885,8
亞達育樂事業股份有限公司,39886691,8
亞馬林工作室,35396635,8
亞麗安娜國際企業社,226880113,9
交泰興有限公司,223946060,9
亦傑有限公司,33631687,8
亦勵光電科技有限公司,226796521,9
亦思工程行,226310507,9
亦祥實業有限公司,34632889,8
亦群有限公司,39507233,8
亦詠順國際有限公司,921988313,9
亨利塑膠廠,62700494,8
亨力實業有限公司,225221353,9
亨威機車行,34581300,8
亨屋不動產仲介經紀有限公司,34367666,8
亨衢股份有限公司,65552889,8
亨通工程有限公司,987011013,9
亨達國際運通股份有限公司,227698656,9
亨都建設股份有限公司,422427010,9
享俊企業有限公司,223076286,9
享元科技有限公司,222664779,9
享冠室內裝修有限公司,33200878,8
享受藝術股份有限公司,277090191,9
享帛企業有限公司,228477276,9
享欣宏有限公司,286861178,9
享溫馨企業股份有限公司,77118783,8
享育實業有限公司,87523105,8
享萊股份有限公司,935063652,9
享財貿易有限公司,228315219,9
享運環保服務股份有限公司,34603310,8
京事達有限公司,255850876,9
京來股份有限公司,282278892,9
京倫建設股份有限公司,227780798,9
京典造形設計工程有限公司,227017393,9
京冠小客車租賃有限公司,33321146,8
京剛有限公司,33633114,8
京叡科技有限公司,67223299,8
京司實業股份有限公司,73805731,8
京喜小客車租賃有限公司,222937700,9
京固國際通商有限公司,422580880,9
京埜實業有限公司,224376069,9
京士威科技股份有限公司,225916311,9
京太科技有限公司,222218284,9
京宏科技有限公司,222778862,9
京實科技有限公司,286680877,9
京彩股份有限公司,427082325,9
京徹股份有限公司,229506452,9
京懋企業有限公司,223938261,9
京昂科技股份有限公司,34251008,8
京晏國際有限公司,423723366,9
京東藥局,227679503,9
京泓企業有限公司,424608835,9
京源田股份有限公司,229081268,9
京睦天有限公司,225670557,9
京祐有限公司,33110116,8
京站機車行,425812363,9
京致實業有限公司,226983757,9
京華城股份有限公司,227872187,9
京華小客車租賃有限公司,229948700,9
京貴國際企業有限公司,48858088,8
京釜工具有限公司,425334677,9
京鎂公寓大廈管理維護股份有限公司,36578855,8
京鑫數位股份有限公司,227293955,9
京門國際有限公司,987992573,9
京陞國際股份有限公司,227139962,9
京韋土木包工業,982555697,9
京鴻不動產仲介經紀有限公司,425358258,9
亮俐有限公司,228572002,9
亮品企業有限公司,424969156,9
亮姿生物科技有限公司,229506235,9
亮慶實業有限公司,47869045,8
亮晶晶企業社,226419577,9
亮潔實業股份有限公司,77495123,8
亮瑜廣告有限公司,33019955,8
亮翊企業有限公司,225014766,9
亮采生物科技有限公司,229641668,9
亮鉅股份有限公司,75368175,8
亮鑫線槽股份有限公司,229225938,9
亮點不動產有限公司,903925115,9
亮點光學股份有限公司,35752910,8
人人應用細胞生物科技股份有限公司,227665701,9
人團圓胡桃家居有限公司,223466363,9
人文傳播有限公司,927890167,9
人方策略整合行銷有限公司,227069990,9
人韻有限公司,917543551,9
仁享創意有限公司,423399276,9
仁人文化事業有限公司,34335588,8
仁仁居家護理所,346850666,9
仁和塑膠有限公司,47778795,8
仁和機車行,422788791,9
仁弘吉企業有限公司,66793858,8
仁懋科技有限公司,913266217,9
仁捷租賃有限公司,982905479,9
仁杏藥師藥局,62731702,8
仁杰義金屬工業股份有限公司,222112837,9
仁棋電訊有限公司,422321513,9
仁泉文具印刷有限公司,222269959,9
仁漢企業有限公司,73121497,8
仁美國際股份有限公司,227577280,9
仁美開發企業股份有限公司,427059199,9
仁翔實業有限公司,76527827,8
仁誠興業股份有限公司,229922355,9
仁鋒有限公司,62983732,8
仂升塑膠有限公司,286719699,9
今上達有限公司,36213798,8
今友電器企業有限公司,226423589,9
今寶企業有限公司,223314669,9
今慶科技股份有限公司,266068877,9
今春企業股份有限公司,423390577,9
今昱玻璃儀器有限公司,35713122,8
今漢電器有限公司,229595695,9
介文螺絲工廠,226894032,9
介星企業有限公司,226372858,9
仕和工業有限公司,422790917,9
仕揚貿易有限公司,73736516,8
仕明國際股份有限公司,289819392,9
仕眾企業有限公司,289811857,9
仙林煤氣商行,33281558,8
仙流國際有限公司,225231395,9
仙盈建設有限公司,73641888,8
仙蒂楊國際有限公司,227413700,9
仟倫興業有限公司,931219975,9
仟達空調工程行,227882755,9
代代富股份有限公司,36581093,8
代成企業社,77874678,8
代玄電子有限公司,62546636,8
代統科技實業有限公司,228911884,9
代聖企業股份有限公司,425623622,9
令和國際實業股份有限公司,424265859,9
以伯諾國際股份有限公司,989233604,9
以帽取人有限公司,227049587,9
以柔資訊股份有限公司,423509525,9
以琳商行,289812171,9
以諾工程技術顧問有限公司,227606670,9
仰德中醫診所,33800227,8
仰角國際影業有限公司,227668222,9
仲一工業有限公司,422795232,9
仲乾國際有限公司,62965098,8
仲伸機械工業有限公司,229925304,9
仲信交通事業股份有限公司,424251755,9
仲尉金屬工程有限公司,226437230,9
仲微科技有限公司,223936009,9
仲心企業社,39595545,8
仲悅國際有限公司,437020088,9
仲曜建設有限公司,225079998,9
仲禹工程顧問股份有限公司,423850095,9
仲維工業股份有限公司,62051179,8
仲興機車行,62243613,8
仲誼科技股份有限公司,48291351,8
仲青行旅股份有限公司,52767268,8
任記科技有限公司,73465280,8
企佑營造有限公司,426226933,9
企冠企業有限公司,77229337,8
